  PID TTY          TIME CMD
  574 ?        00:00:00 sshd
  575 pts/0    00:00:00 bash
  638 pts/0    00:00:04 a.out
  657 pts/0    00:00:06 a.out
  664 pts/20   00:00:00 bash
  678 pts/0    00:00:00 tmux: client
  679 pts/22   00:00:00 bash
  693 pts/23   00:00:00 bash
  758 pts/22   00:00:00 vim
  914 pts/23   00:00:00 ps
 1408 pts/44   00:00:00 bash
 1621 pts/1    00:00:00 bash
 2730 pts/14   00:00:00 bash
 2758 pts/16   00:00:00 bash
 3475 pts/12   00:00:00 bash
 3486 pts/29   00:00:00 bash
 3500 pts/30   00:00:00 bash
 4047 pts/31   00:00:00 bash
 4113 pts/30   00:00:01 vim
 5105 pts/29   00:00:01 vim
 6473 pts/8    00:00:00 bash
 6497 pts/15   00:00:00 bash
 6608 pts/31   00:00:00 vim
 6727 pts/15   00:00:00 vim
 6744 pts/16   00:00:00 vim
 7102 pts/18   00:00:00 bash
 7116 pts/21   00:00:00 bash
 7172 pts/18   00:00:00 vim
 7331 pts/17   00:00:00 bash
 8369 pts/32   00:00:00 bash
 8383 pts/33   00:00:00 bash
 9391 ?        00:00:00 systemd
 9392 ?        00:00:00 (sd-pam)
 9553 ?        00:31:21 tmux: server
 9554 pts/2    00:00:00 bash
 9568 pts/3    00:00:00 bash
 9600 pts/3    00:00:05 vim
 9987 pts/4    00:00:00 bash
11178 pts/39   00:00:00 bash
11196 pts/40   00:00:00 bash
11415 pts/39   00:00:00 vim
15148 pts/5    00:00:00 bash
16667 pts/45   00:00:00 bash
16681 pts/46   00:00:00 bash
17027 pts/42   00:00:00 bash
17907 pts/6    00:00:00 bash
17921 pts/9    00:00:00 bash
17993 pts/6    00:00:00 vim
18388 pts/52   00:00:00 bash
18570 pts/53   00:00:00 bash
19043 pts/10   00:00:00 bash
19405 pts/52   00:00:00 vim
19408 pts/50   00:00:00 bash
19675 pts/54   00:00:00 bash
19868 pts/11   00:00:00 bash
20000 pts/43   00:00:00 bash
20273 pts/27   00:00:00 bash
22229 pts/34   00:00:00 bash
22317 pts/36   00:00:00 bash
23654 pts/25   00:00:00 bash
24252 pts/48   00:00:00 bash
24347 pts/26   00:00:00 bash
